titre,album,date,durée_sec,popularité,artistes,paroles
Rebel,AD VITAM ÆTERNAM,2024-02-08,133,52,Booba,"21 ContributorsRebel Lyrics[Paroles de ""Rebel""]

[Intro : Bob Marley]
""Herb...herb is a plant ! I mean...herbs are good for everything
Why...why these people who want to do so much good for everyone, who call themselves governments and this and that...
Why them say you must not use the herb? You see...it make you rebel.""

[Couplet : Booba]
Tout passe par la force, on est acquis de droit
Le ciel m'écrit en morse, on dirait qu'il me voit
Tu m'dis qu'ces vagues sont imprenables, ai-je vraiment le choix ?
Quе des emballages sans contеnu, que des Dua Lipa
High-kick, middle-kick, Sawadikap
J'ai confiance en personne, du coup on m'trahit pas
À un moment donné faut prendre les armes, suffit pas d'y croire
À un moment donné faut rendre les armes, c'est là qu's'écrit l'histoire
Sénégalais chaud comme Haalpulaar
C'que j'dis c'est tellement noir, tu crois au canular
J'veux pas leur or, juste leurs têtes me suffira
J'suis craint comme Voldemort, d'mande à Linda, elle t'le dira
45 Scientific, l'escroc s'appelait Géraldo
Flip la cocaïne, whip la Gelato
Crochet d'Lomachenko, tout devient noir comme Mamadou Sakho
¿Holá, dónde está el producto, Paquito?
J'suis avec une pute de Liège, même si y a pas d'neige elle aime bien slalomer
Pour une poignée d'euros, elles s'assoient sur ton bâtonnet
Mon pote m'présente sa femme, ah j’suis goute-dé, j'la connais
Le rap français c'est oi-m, ils devraient tous m'appeler ""Papounet""


[Outro]
Tout passe par la force, rien n'est acquis de droit
Le ciel m'écrit en morse, on dirait qu'il me voit
Tu m'dis qu'ces vagues sont imprenables, ai-je vraiment le choix ?"
Saga,AD VITAM ÆTERNAM,2024-02-08,194,66,Booba,"20 ContributorsSaga Lyrics[Paroles de ""Saga""]

[Intro]
Toujours entouré de mannequins
Toujours entouré de mannequins
Eh, eh

[Couplet 1]
Toujours entouré de mannequins, je fais mouche avec mon baratin
Et elles s'en iront dès le matin, j'vais pas t'mentir
Tu n'es vêtue que de Balmain, espèce protégée en sac à main
Le monde est mien comme Tony le Cubain, j'vais pas m'enfuir

[Pré-refrain]
J'ai pas d'place pour toi dans mon cœur, j'serai jamais à la hauteur
J'ai une vie trop douloureuse pour toi
Mon navire traversera la peur, trois cent quarante au compteur
J'ai une vie trop dangereuse pour toi

[Refrain]
J'vais pas t'mentir
J'ai fait couler litres de sang et litres de mascara
Si tu penses que j'suis à toi, tu peux partir
Notre histoire n'était qu'un strike, n'en fais pas une saga
Toi tu réchauffes les cœurs, j'les fais refroidir
J'ai la haine d'un orphelin, la dalle d'un harraga
Si tu savais comme ces haineux m'souhaitent le pire
Je compte plus mes billets comme grossiste de Malaga
Ah-ah-ah-ah


[Couplet 2]
Femme indépendante, elle est fière, la vie c'est dure, Paris c'est pas donné
Elle montre son cul et ses pieds, c'est sûr, vu son nombre d'abonnés
Traite la comme si tu la voulais, pas comme si tu l'avais
Elle m'dit : ""Pourquoi t'as toutes ces bouteilles, tant d'oseille, tu souris jamais ?""

[Pré-refrain]
J'ai pas d'place pour toi dans mon cœur, j'serai jamais à la hauteur
J'ai une vie trop douloureuse pour toi
Mon navire traversera la peur, trois cent quarante au compteur
J'ai une vie trop dangereuse pour toi

[Refrain]
J'vais pas t'mentir
J'ai fait couler litres de sang et litres de mascara
Si tu penses que j'suis à toi, tu peux partir
Notre histoire n'était qu'un strike, n'en fais pas une saga
Toi tu réchauffes les cœurs, j'les fais refroidir
J'ai la haine d'un orphelin, la dalle d'un harraga
Si tu savais comme ces haineux m'souhaitent le pire
Je compte plus mes billets comme grossiste de Malaga
Ah-ah-ah-ah

[Outro]
Si belle et si vicieuse, trop dangereuse pour moi
Surtout ne jamais la marier, à vie tu souffriras
La route est tellement sinueuse, ses courbes n'en finissent pas
Elle n'a pas besoin de me parler, son regard suffira"
Dolce Camara,AD VITAM ÆTERNAM,2024-02-08,178,73,"Booba, SDM","54 ContributorsTranslationsEnglishDolce Camara Lyrics[Paroles de ""Dolce Camara"" ft. SDM]

[Intro : Booba]
C'est ça qu'ils veulent
Mip-mip (Ouh, ouais)
C'est ça qu'ils veulent (I-Z-I, ouh, ouais)
On va leur donner (Ouh, ouais)
C'est ça qu'ils veulent (Ouh, ouais)
Okay

[Couplet 1 : Booba]
J'ai pas besoin d'parler, j'suis grand séducteur
Le shit c'est du filtré, la coke c'est du beurre
J'arrive plus à m'projeter, j'vois que le M-U-R
Sa mère, il est D-U-R
J'vais m'poser dans l'maki (Sale, okay)
Enterrer sous terre tous mes cellulaires
Piscine à débordement (Okay), pizza aux fruits de mer
J'aide les miens, ceux qui ont un crochet, fuck mon prochain
Avant d'prendre l'uppercut, tout l'monde a un projet, et puis tout s'éteint
Pour combattre l'empire, il m'faut R2-D2
France rime avec chance, j'crois en aucun des deux
Elle veut mon WhatsApp, mon numéro de chambre
J'ai la main dans ses cheveux, je tire, elle se cambre
J'finis sur son dos, précis comme Rondo, riche comme un Bongo, bang-bang
On les aime fraiches, bien michtos, qui savent accueillir comme Demdem
Plus on étouffe, plus c'est la ville, plus on est d'fous, plus c'est l'asile
À peine fini d'forniquer, j'me rhabille, les larmes sont halal, le sourire est kabyle


[Refrain : Booba]
J'suis de l'ancienne fédé, sans enseigne piégée
OG BG, OG BG
Faites entrer toutes les caméras
Je suis beau, j'suis en Dolce Camara
J'suis de l'ancienne fédé, sans enseigne piégée
OG BG, OG BG
Faites entrer toutes les caméras
Je suis beau, j'suis en Dolce Camara

[Couplet 2 : SDM]
Eh (Ocho, Ocho)
J'descends du singe, j'les visser juste en bas d'la cité
Devant moi, t'es mimi, prends ton phone, insulte moi (Gros, c'est réel)
La technique à Ronnie, la ce-for à Seedorf
C'qu'ils font en dix années, bah, moi, ça m'prend six mois (Ouais, gros, c'est réel)
Cigare en che-bou quand j'arrive sur scène
La saga, la cité, Douk Saga en chef, ça dyab (Saga la cité)
Poto, ne crois même pas qu'on chôme, ça jobbe (La cité, la cité)
Y a d'la che-blan, d'la verte et du jaune, ça vend (Gros, c'est réel)
Le business est carré, la BAC fait des rondes (Ouh)
On encaisse, on rit aux nez des fédéraux (You-ouh-ouh-ouh)
La mère à Riolo, le père à Riolo (Ouh)
J'arrive en affranchi (Ouh, ouh), BG comme Liotta (En Dolce Camara)
J'fais la taille d'un yéti, l'argent du re-four, ouvre business en ïe-Tha (Gros, c'est réel)
Solo, j'paie dix 'teilles, les biatchs ont soif (92i, gros)
En Dolce Camara, dans costume en soie (Ocho)
Ils nous aiment pas mais sont obligés d'faire avec (Gang)
La ce-for des choses donne la vue aux aveugles (Yeah)
On est entourés d'faux, le 92i reste vrai (Bouh)
Le serveur met du D.U.C dans mon verre


[Pont : SDM]
D'la nouvelle géné comme USKY et Greenzer
OG BG, OG BG
Faites entrer toutes les caméras (Ouais, ouais, ouais)
Je suis beau, j'suis en Dolce Camara (Arriba, arriba, 92izi)

[Refrain : Booba]
J'suis de l'ancienne fédé, sans enseigne piégée
OG BG, OG BG (Ocho)
Faites entrer toutes les caméras
Je suis beau, j'suis en Dolce Camara
J'suis de l'ancienne fédé, sans enseigne piégée
OG BG, OG BG (Saddam, Hauts de Seine)
Faites entrer toutes les caméras
Je suis beau, j'suis en Dolce Camara

[Outro : Booba & SDM]
IZI
Okay
Bouh"
Sport Billy,AD VITAM ÆTERNAM,2024-02-08,126,46,Booba,"32 ContributorsSport Billy Lyrics[Paroles de ""Sport Billy""]

[Intro : tag]
Yacine smoke the track
I-Z-I

[Couplet unique]
Rapocalyptique, mon but, c'était bédave et bavardages
Petit ou grand, on t'éteint, puto, à moi, tu m'parles pas d'âge
On est trop sur la planète (Trop), j'en déduis qu'ils vont tous nous tuer (Tous nous tuer)
Mes enfants n'diront jamais : ""Papa où t'es ?"" (Papa où t'es ?)
J'ai caché mes armes dans le sac à Sport Billy (Sport Billy)
Cercle fermé comme le canon du 9 milli' (9 milli')
Ils n'vivront pas deux cents ans (Ils n'vivront pas deux cents ans)
Ils ne remonteront pas le temps (Jamais)
La fin est proche, Alléluia, c'est écrit dans la Torah, le Coran
Nul n'arrêtera lеs éléments, glaive à la main, le Valhalla nous attеnd
Le but, c'est qu'personne se relève, gaz sarin pour petits et grands (Petits et grands)
S'il faut tirer pour s'en tirer, les chargeurs sont pleins, y a plus qu'à appuyer (Y a plus qu'à appuyer)
Sur la détente, PNC aux portes, on prépare la descente (On prépare la descente)
Me parle pas de phénix, moi, j'renais pas, c'est pas nous dans les cendres (Dans les cendres)
J'brûlerai qu'une fois, c'est suffisant, qui peut m'arrêter, pas Vald Sullyvan (Non)
Ni son daron le facho (Facho), j'reste au pouvoir comme Sassou
Femme, va m'faire un plat chaud, 100 moins 8 zoo, très loin de Damso
Marre de votre fausse égalité, quand ça va péter, il faudra des hommes
Pas d'auréoles, il faudra des cornes, mental et bouclier de Björn
J'suis Africain comme Fior de Bior, boule à zéro comme Voldemort
Notre technique : on t'baise tes morts, y a que le bigleux qui jette des sorts
Sûrement Sicario qu'a ton briquet, économie parallèle (Économie parallèle)
Sans cash, frérot, c'est compliqué, tu prépares l'lendemain pour la veille (Pour la veille)
T'es mort dans le movie (T'es mort dans le movie)
Pas de fruits dans le smoothie (Pas de fruits dans le smoothie)
Qui mange du thon, rêve de sushi (Rêve de sushi)
On règle un souci par un souci (Par un souci)
J'en déduis qu'ils vont tous nous tuer (Tous nous tuer)
Haraï"
Signé,AD VITAM ÆTERNAM,2024-02-08,180,48,Booba,"16 ContributorsSigné LyricsC’est courant mai 2023 que le rappeur originaire de Boulogne-Billancourt fait la promotion — relativement discrète — de ce morceau intitulé “Signé”, par le biais de la modification de la photo de profil et de… Read More [Paroles de ""Signé""]

[Intro]
C'est pas l'rrain-té qui m'quitte (L'rrain-té qui m'quitte)
Denza

[Couplet 1]
C'est pas l'rrain-té qui m'quitte (C'est pas l'rrain-té qui m'quitte), c'est moi, j'quitte le terrain (J'quitte le terrain)
T'as cru t'étais quelqu'un ?  (T'as cru t'étais quelqu'un ?) T'allumes, on t'éteint (T'allumes, on t'éteint)
On arrive en 'ghini (On arrive en 'ghini), on revient du D1 (On revient du D1)
Les grands tuent les petits (Les grands tuent les petits), comme Abel et Caïn (Comme Abel еt Caïn)
J'suis sur l'Prometheus (J'suis sur l'Promethеus), pas l'tapis d'Aladin (Pas l'tapis d'Aladin)
Neuf mois dans l'utérus, dans l'cerceuil à la fin
Renoi surdoué (Surdoué), j'ai rien d'mandé (J'ai rien d'mandé)
Point A, point B (Point A, point B), j'suis dans l'blindé (J'suis dans l'blindé)
Ni plata ni plomo (Ni plata ni plomo), 's ont fait que parler ('s ont fait que parler)
J'pèse comme Coco (J'pèse comme Coco), Gad Elmaleh (Gad Elmaleh)
Solo à vie (Solo), jamais marié (Jamais, jamais)
La monogamie (La monogamie), c'est quand t'es fauché

[Pré-refrain]
Pas récompensé comme un tirailleur, ce qui est dû n'se réclame pas
On m'a toujours dit d'aller voir ailleurs, j'suis revenu vainqueur à chaque fois
Pas récompensé comme un tirailleur, ce qui est dû n'se réclame pas
On m'a toujours dit d'aller voir ailleurs, où mon passé ne repose pas


[Refrain]
C'est signé, c'est signé (C'est signé)
C'est signé, c'est signé (C'est signé)
C'est signé, c'est signé (C'est signé)
C'est signé, c'est signé (C'est signé)

[Couplet 2]
Tire pas sans gants (Tire pas sans gants), pas vu, pas pris (Pas vu, pas pris)
""Baise-les avant"" (Baise-les avant) : c'qu'on m'a appris (C'qu'on m'a appris)
J'te laisse ma place (La place) au Paradis (Au Paradis)
Moi, j'reste ici (Ouais, j'reste), une vie m'suffit (M'suffit)
J'ai pas d'plan B, j'peux pas m'planter (M'planter)
Drapeau levé (Levé), j'peux pas rentrer
Dos argenté (Dos argenté), lien d'parenté (Parenté)
Ounga, ounga, c'est pour de vrai (C'est pour de vrai)
Beaucoup d'bourbiers, souvent risqué
Si j'en parle pas (Si j'en parle pas), y a pas d'combat (Nan, nan)
Tous équipés (Tous, tous), mes coéquipiers (Coéquipiers)
On reviendra pas, c'est dans l'contrat

[Pré-refrain]
Pas récompensé comme un tirailleur, ce qui est dû n'se réclame pas
On m'a toujours dit d'aller voir ailleurs, j'suis revenu vainqueur à chaque fois
Pas récompensé comme un tirailleur, ce qui est dû n'se réclame pas
On m'a toujours dit d'aller voir ailleurs, où mon passé ne repose pas


[Refrain]
C'est signé, c'est signé (C'est signé)
C'est signé, c'est signé (C'est signé)
C'est signé, c'est signé (C'est signé)
C'est signé, c'est signé (C'est signé)

[Outro]
C'est signé, c'est signé
C'est signé, c'est signé
C'est signé"
6G,AD VITAM ÆTERNAM,2024-02-08,171,52,Booba,"58 Contributors6G LyricsFaisant suite à “3G”, “4G” et “5G”, le titre “6G” paraît plus de trois mois après son single précédent, “Sport Billy” — le 2 février 2024.

Malgré son annonce officielle le 31 janvier, Booba avait teasé de… Read More [Paroles de ""6G""]

[Couplet 1]
Méfie-toi de celui qui veut l'os
Même de tes frères, demande à Pogba
Sous champi' comme Mario Bros
Fuck la princesse, j'la sauve pas (J'la sauve pas)
J'te parle de dictature, tu m'parles de quinquennat
Si j'dis qu'la mer est agitée, c'est qu'minimum, c'est Katrina
La condition sine qua non, drapeau pirate comme à Tampa
Dans leurs cerveaux, y a d'la litière pour chat, c'est pour que ça sente pas
Y a pas mort d'homme, 6G, nouvel album, y a pire comme attentat
J'suis d'l'ancien monde, elle prend pas l'Ethereum, ma strippeuse d'Atlanta
Si j'pense trop, vont m'enfermer, frérot, les cerveaux sont pris d'assaut
Le canon est long, cylindré comme une tour des Pablo Picasso
Qu'est-ce que t'attends ? Nique-lui sa mère la tchoin, c'est bon, vas-y, t'as l'go
Dites à Pékin qu'on a de gros pépins, qu'on vient sans Hidalgo
C'est pas la bohème qui m'inspire, gamin, c'est feu Arthur Rimbaud
J'admire la fin, verre de lys plein dans un penthouse au Murano
Ils te conseillent ce qu'on leur déconseille, la vie, lui tourne pas l'dos
J'ai qu'une équipe, toujours la même, on est l'Brésil de Rivaldo

[Pont]
J'veux pas crever sans m'battre, me plier en quatre
Appelle-moi sur l'appli, on va parler en Jap'
Regarde-moi tous ces zouaves, ils vont finir en G.A.V (Finir en G.A.V)
On va creuser des trous pour boucher le gap (Pour boucher le gap)
C'est pas toi qui décides
Les vents s'lèvent, te feront changer de cap (Changer de cap)


[Couplet 2]
La vie est une salope (Salope)
Comme Maeva Ghennam, elle doit changer de chatte (Elle doit changer de chatte)
On me parle d'escrocs, on me parle de Blat' (Blat')
Les yeux levés au ciel (Au ciel), j'attends juste la date
Comme j'suis ni un clebs, ni un mouton (Ni un clébard), j'sais pas donner la patte
Y a qu'entre rates-pi qu'on s'fait tourner la carte
On coule tous au final, peu importe, notre âme sera restée intacte ('tacte)
Sacrifice humain, j'attends l'éclipse (J'attends l'éclipse), le Soleil est très en colère
Mon meilleur profil est en Égypte (Égypte), sur les bâtiments triangulaires
Tyrans de demain, tyrans d'hier, ils veulent tout, la Terre entière
Ça détaille pour quitter le bétail, des larmes de métal quittent mon iris
Des flammes de Sheitan sortent du Urus noir, son honneur ne tient qu'à un PayPal
La kichta aux couleurs du maillot de Kobe, du taudis, à l'Audi au lobby
N'aie pas le malheur de lui passer l'anneau
Si elle demande le prix de l'anneau
J'ai mon harem, ma chicha, mon thé, j'ai repris de l'agneau (J'ai repris de l'agneau)"
GM,AD VITAM ÆTERNAM,2024-02-08,208,42,"Booba, Evil P, Gato","17 ContributorsGM Lyrics[Paroles de ""GM"" ft. Evil P & Gato]

[Intro : Evil P, Booba, Gato]
Ou pa'a wè ki lèss la ki la, an Patate maman'w
Gyèt manman, counia manmanw (Haha)
Gyèt manman, counia manmanw (Counia gyèt mamanw)
Gyèt manman, counia manmanw
Gato Evil, Devil
Gyèt manmanw (Come on)
Gyèt manmanw
Counia gyèt mamanw

[Couplet 1 : Evil P]
Sa trop puissant baw pa minyin sa (Nah)
Man té ja diw Man ka binyin dans le sal (Sal)
Man ja koké manmanw an fois, deux fois, trois fois yo sé dit ou inmin sa ! (Haha, haha)
Sav sa, anlè mwen, ayin pa key brinnin
A moins que ou bêtement envie sinyin (Skull, skull)
Man epi des pirates la an ja ginyin démon an puissant ou pé pa frinnin sa (Grrah-grrah-grrah)
L'agent an ka fèt vite (Fèt vite)
Mais tou lé jou sa pa festif
Douvan Glock pa ni Schwarzy pa ni Jet Li
Man di Booba Man key yin ki visé tête li (Grrah)
Moun a demi an pale sa (Naah), ou pa adan siw ou pa assé investi (Sale)
Bitch la di mwen I pa lé Valé sa i inmin lè sa ka coulé di fess li (Salope)
Ice codé zié mwen coulè lenfè (Skrr)
Man super defoncé an fait
Ou key fai gato krazé an bagay an djel ou Siw comprenn ou key fai ti bagay en traite (Nah)
97.1,2,3,4, nou an mèt (Sale, sale, salе, sale)
Man inmin wai yo begayé douvan neg
Pa fai lе con Man key baw li an tête, an landget manmanw


[Refrain : Booba, Evil P]
Gyèt manmanw (Eh-eh), counia manmanw (Eh-eh)
Gyèt manmanw (Eh-eh), counia manmanw (Grrah, grrah, grrah)
Gyèt manmanw (Eh-eh), counia manmanw (Eh-eh)
Gyèt manmanw (Eh-eh), counia manmanw (Salope)

[Couplet 2 : Booba]
Gato, Evil, Devil, c'qu'elles veulent c'est du dirham
See you in heaven, pas pour moi, see you au Seven-Eleven
Peau neuve, Brésil, python (Python), Courneuve, résine, litron
J'sais pas réciter trois sourates, je m'éteins au filtré trois fois
""Mucho gusto"" elle m'dit (Elle m'dit), mais c'est un tapin d'l'ennemi (L'ennemi)
L'étau s'resserre, tout est faux, va dormir d'main tu t'lèves tôt
Le bruit, l'odeur, le chantier, rafale au marteau piqueur (Piqueur)
Cyrano viole ta p'tite sœur (P'tite sœur), ça fume la satan en p'tit cœur

[Pré-refrain : Booba]
J'vais t'mettre deux grandes calottes (Calottes)
Jusqu'à c'que tu soit d'mon avis
J'connais qu'des grandes salopes (Salopes)
Je n'ai donc pas d'petite amie
J'vais t'mettre deux grandes calottes (Calottes)
Jusqu'à c'que tu soit d'mon avis
J'connais qu'des grandes salopes (Salopes)
Je n'ai donc pas d'petite amie


[Refrain : Booba, Gato]
Gyèt manmanw (Eh-eh), counia manmanw (Eh-eh)
Gyèt manmanw (Eh-eh), counia manmanw (Grrah, grrah, grrah)
Gyèt manmanw (Eh-eh), counia manmanw (Sale)
Gyèt manmanw (Eh-eh), counia manmanw (Salope)

[Couplet 3 : Gato]
I put this shit on my life, on my kids
Gyèt manmanw, they can't fuck with the P (Ah)
Gyèt manmanw, they can't fuck with the Z (Gyèt)
Gyèt manmanw, they can't fuck with my team (Eh)
I'm from Lil' Haïti, they know what I mean
Big steak on me, shake 'em with a beam
Don't trick local, I fuck overseas
Bitches ain't loyal, they know I want pussy (Ha)
I get the money, the bag, the check (The check)
Bitch, don't swallow, bitch, no bread (Ah)
Standin' on business, ain't hard to see (Hard)
Breakin' down the key with Evil P
I fuck the law with no condom (No condom, ah)
Tell the judge, ""Fuck it, I'm from the bottom""
I got a bitch from Wisconsin (Yeah, Wisconsin)
Traffickin' Molly, she know how to gets it
I used to eat Spam straight out the can (Eh-eh)
With just peanuts, I had no breads (Eh-eh)
Now I get Tomahawk served on the plane (Eh-eh)
No more jailhouse, no more cocaine
Nigga look at me says, ""Oh, you changed"" (Ah)
Tell 'em, ""Gyèt manman, still the same"" (Eh-eh)
Nigga look at me says, ""Oh, you changed"" (Ah)
Fuck, fuck nigga, nigga, I'm still the same


[Refrain : Booba, Gato]
Gyèt manmanw,  counia manmanw (Gang, gang, gang)
Gyèt manmanw, counia manmanw (Grrah)
Gyèt manmanw, counia manmanw (Sale)
Gyèt manmanw, counia manmanw

[Outro : Booba]
Gyèt, gyèt, gyèt manmanw
Gyèt, gyèt, gyèt manmanw"
Abidal,AD VITAM ÆTERNAM,2024-02-08,176,45,"Booba, Sicario","21 ContributorsAbidal Lyrics[Paroles de ""Abidal"" ft. Sicario]

[Couplet 1 : Booba]
T'as perdu l'goût et l'odorat, frérot, l'odorat, c'est l'instinct
L'homme prend tout par la force, car en vrai, rien n'lui appartient
On trouve la haine partout, l'amour, quand on s'y attend l'moins
Tout est écrit là-haut, si ça tombe mal c'est qu'ça tombe bien
Ma foi est mal en point, j'essaie d'transformer l'mal en bien
La mental' est trop loyale au moins comme un dogue Argentin
J'entends la cargaison d'écailles au large des plages du Lamentin
J'dors sur l'ile de Gorée, dans un cinq étoiles Saoudien
Unе salade d'entraves au mеnu, serveur me dit qu'c'est ça ou rien
Ils décident de notre défaite, en rient, se resservent du vin
J'préfère descendre du singe que d'ce chien d'homo erectus
Quand tu seras seul, déprimé l'soir, demande à Alexa si elle suce
[Refrain : Booba]
J'suis dans l'vaisseau amiral, j'attends le signa-a-a-a-a-al
Ils sont surcoté de fou, comme Kylia-a-a-a-a-an
J'vais sûrement t'faire du sale, si t'es mon riva-a-a-a-a-al
Bien sûr je trompe ma femme, j'suis comme Abida-a-a-a-a-al
Dakar, Marrakech, Miami Beach, Châtelet-Les Ha-a-alles
T'es Luigi Buffon, t'arrêtes les pénos, pas les ba-a-alles
C'est bientôt la fin, pour ça qu'j'en pa-a-arle
Dans l'film de leur vie, j'ai l'rôle principa-a-al


[Couplet 2 : Sicario]
Dans les quatre coins du monde, des animaux qui tournent, des châtiments qui tombent comme des bombes tsar
Les pieux sont pions et de plus en plus de Chalgoumis sur les ondes star
Le vice et le pêché dans chaque langue, laisse pas trainer ton fils chez Jack Lang
Que des rafales, aucun renfort (Brr), zéro dérapage, la foi renforce
On a grandit sans père, sans père, sans Danette
On sait pas où on va mais on s'en bat les c'
On connait leur jeux, j'ai plus d'cent manettes, ils imaginent le sauveur en sandalettes
Les anciens prédisent la fin, les infos précisent l'inverse
Leurs méfaits produisent l'enfer, les enfants président la fête
Des offrandes de plus à faire
Merde, dis-moi pourquoi l'humain adore la vache
Du sang par litre pour lancer la machine (Wouh)
Tout devient facile quand on fait d'la magie (Wouh)
Ils diront qu'maladie sera livrée par la Chine (Wouh)
C'est pas les voitures mais les humains qui volent
On a peur de Dieu quand toi t'as peur du voile
Ils ont trop la rage, on fera jamais c'qu'ils veulent (Eh-eh, brr-brr)

[Refrain : Booba]
J'suis dans l'vaisseau amiral, j'attends le signa-a-a-a-a-al
Ils sont surcoté de fou, comme Kylia-a-a-a-a-an
J'vais sûrement t'faire du sale, si t'es mon riva-a-a-a-a-al
Bien sûr je trompe ma femme, j'suis comme Abida-a-a-a-a-al
Dakar, Marrakech, Miami Beach, Châtelet-Les Ha-a-alles
T'es Luigi Buffon, t'arrêtes les pénos, pas les ba-a-alles
C'est bientôt la fin, pour ça qu'j'en pa-a-arle
Dans l'film de leur vie, j'ai l'rôle principa-a-al"
Bénigni,AD VITAM ÆTERNAM,2024-02-08,173,50,"Booba, USKY","16 ContributorsBénigni Lyrics[Paroles de ""Bénigni"" ft. USKY]

[Couplet 1 : USKY]
Avant, j'voulais la plus sexy, maintenant j'veux celle qui m'casse le moins la tête
J'ai les deux doigts dans la prise, les trois autres sont dans sa schneck, dis-moi rien d'autre au personnel
Graines d'amertume que j'ai parsemé, cerveau en vrac, j'sais plus c'est quel jour d'la semaine
J't'ai donné ma confiance, me l'rendre, tu l'as pas fait, j'ai dû briser ton cœur en porcelaine
Le temps remet chaquе clown dans son cirque, le temps rеmet chaque roi sur son trône, ouais, ouais, ouais
J'entends le chant des sirènes, le bruit d'un .45 qui fait ""Bang, bang, bang""
Ils camouflent leurs médiocrités avec des prod' qui tapent, des feats derrières leur Givenchy
J'ai pas su lui dicter mes règles, lui dire que la vie est belle comme Roberto Benigni

[Pré-refrain : USKY]
Ce soir, je ride seul dans la ville et je me sens habité
J'ai craché mon seum dans la fumée, déçu mais habitué
Ils trouvent que j'suis trop dur à pister, qu'j'ai plusieurs entités
Ces mauvais réflexes qui me guidaient, j'n'ai pas su les quitter

[Refrain : USKY]
Ce soir, je ride seul dans la ville et je me sens habité
J'ai craché mon seum dans la fumée, déçu mais habitué
Ils trouvent que j'suis trop dur à pister, qu'j'ai plusieurs entités
Ces mauvais réflexes qui me guidaient, j'n'ai pas su les quitter

[Couplet 2 : Booba]
J'ai jamais voté, y a qu'des fumiers, des écrans de fumée
Y a pas pire que l'Homme, c'est confirmé, plutôt mort que confiné
Le savoir est une arme mais le problème, j'pense plus sans mon I.A
Parisien, j'perds même avec Lionel, j'danserai pas le Mia
J'entends l'surveillant dans le couloir, dans mon poste, y a du Mac Tyer
Fidèle à ma couleur, le négro, qui n'en est pas une d'ailleurs
Ce soir je ride seul dans la ville, j'suis fonce-dé, j'suis armé
J'rejoins Keno, Mala sur Belleville, j'vais aux tchoins pour me calmer
Plus tard, je deviendrai célèbre, coup de théâtre, j'croise un prof haineux au feu rouge, il regarde la Fé-Fé de sa Seat
Ma mère voulait qu'j'aille voir un psychiatre, j'ai appelé Soprano
J'ai gardé ma folie au chaud, ma fille au salon joue du piano


[Pré-refrain : Booba]
Ce soir, je ride seul dans la ville et je me sens habité
J'ai craché mon seum dans la fumée, déçu mais habitué
Ils trouvent que j'suis trop dur à pister, qu'j'ai plusieurs entités
Ces mauvais réflexes qui me guidaient, j'n'ai pas su les quitter

[Refrain : USKY]
Ce soir, je ride seul dans la ville et je me sens habité
J'ai craché mon seum dans la fumée, déçu mais habitué
Ils trouvent que j'suis trop dur à pister, qu'j'ai plusieurs entités
Ces mauvais réflexes qui me guidaient, j'n'ai pas su les quitter

[Outro : Booba]
Pas su les quitter
Pas su les quitter
Pas su les quitter"
CVBSP,AD VITAM ÆTERNAM,2024-02-08,171,42,Booba,"16 ContributorsCVBSP Lyrics[Paroles de ""CVBSP""]

[Intro : tag]
Da Over à la track, mec

[Couplet 1]
Tu sais qu'ça va pas, donc ne dis rien, j'veux l'argent du beurre du Saoudien
J'suis un patron, j'suis à temps plein, j'peux pas m'faire virer, crains dégun
Indompté, j'les fous hors d'eux, j'aime pas l'humain, tu l'sais très bien
J'ai pas posté drapeau jaune-bleu, j'ai pas hébergé d'Ukrainiens
Y a qu'en Enfer qu'y a des mecs biens, Armageddon, c'est là d'où j'viens
Ils nous prennent tout, appel aux dons, repassez demain, on n'a plus rien

[Refrain]
Ça va bientôt casser, ça va bien se passеr
Pourquoi s'inquiéter ? S'est déjà plié l'déhancher

[Couplet 2]
J'sеrai toujours de trop dans tout ce vide, sur la tombe à Marianne, on est fatigués
On va crever de chaud, les eaux vont monter, on est tous malades et vaccinés
J'suis inculpé, j'ai pas dosé, tu veux jouer au dur ? Let's fucking go
Usual Suspects, Keyser Söze, tout est écrit au mur et tout est faux

[Refrain]
Ça va bientôt casser, ça va bien se passer
Pourquoi s'inquiéter ? S'est déjà plié l'déhancher"
